Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),1G1RF6E42D,477774440,2013,CHEVROLET,Volt,Passenger,38,Used,Original Title,August 28 2019,2019,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),LVYBR0AL0J,232611389,2018,VOLVO,S90,Passenger,21,Used,Original Registration,February 28 2023,2023,Clark,VANCOUVER,WA,98686
Plug-in Hybrid Electric Vehicle (PHEV),1G1RA6S54K,238190641,2019,CHEVROLET,Volt,Passenger,53,Used,Transfer Title,January 29 2024,2024,King,SEATTLE,WA,98105
Plug-in Hybrid Electric Vehicle (PHEV),YV4H60DW9P,219821136,2023,VOLVO,XC60,Passenger,35,New,Original Registration,November 15 2022,2022,King,SEATTLE,WA,98107
Battery Electric Vehicle (BEV),YV4ED3UL2P,221318744,2023,VOLVO,XC40,Passenger,0,New,Original Title,December 06 2022,2022,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),KM8KR4AE7P,258008761,2023,HYUNDAI,Ioniq 5,Passenger,0,New,Original Registration,December 11 2023,2023,King,SEATTLE,WA,98119
Battery Electric Vehicle (BEV),4JGGM2CB9P,237658081,2023,MERCEDES-BENZ,EQE-Class SUV,Passenger,0,Used,Registration Renewal,March 23 2024,2024,King,HUNTS POINT,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),YV4BR00L2L,100920991,2020,VOLVO,XC90,Passenger,18,New,Original Title,March 03 2020,2020,King,SEATTLE,WA,98136
Plug-in Hybrid Electric Vehicle (PHEV),KNDCM3LD0K,100785009,2019,KIA,Niro,Passenger,26,New,Original Title,March 13 2020,2020,King,SEATTLE,WA,98106
Battery Electric Vehicle (BEV),W1KCG2DB2N,187128140,2022,MERCEDES-BENZ,EQS-Class Sedan,Passenger,0,Used,Registration Renewal,November 17 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),W1N9M1DB2P,238807404,2023,MERCEDES-BENZ,EQB-Class,Passenger,0,New,Original Registration,May 11 2023,2023,King,SEATTLE,WA,98115
Plug-in Hybrid Electric Vehicle (PHEV),7JRBR0FM2M,141281045,2021,VOLVO,S60,Passenger,22,Used,Registration Renewal,December 14 2021,2021,King,MERCER ISLAND,WA,98040
