Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),WBY8P8C51K,477294338,2019,BMW,i3,Passenger,126,New,Original Registration,May 29 2019,2019,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJ3E1EAXK,478657924,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,October 24 2022,2022,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),3FMTK4SE2P,233490204,2023,FORD,Mustang Mach-E,Passenger,0,New,Original Title,March 27 2023,2023,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJYGDED6M,144905659,2021,TESLA,Model Y,Passenger,0,New,Original Registration,March 09 2021,2021,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),1N4AZ0CP4D,140174737,2013,NISSAN,Leaf,Passenger,75,New,Original Title,January 17 2014,2014,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),7SAYGDEE4P,258134334,2023,TESLA,Model Y,Passenger,0,New,Original Registration,October 18 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EB5K,124519636,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,March 27 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),7SAYGDEE7P,227325094,2023,TESLA,Model Y,Passenger,0,Used,Registration Renewal,October 24 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EA5P,229969687,2023,TESLA,Model 3,Passenger,0,New,Original Title,February 17 2023,2023,King,SEATTLE,WA,98133
Battery Electric Vehicle (BEV),5YJSA1E21F,291199989,2015,TESLA,Model S,Passenger,208,Used,Registration Renewal,May 15 2023,2023,King,KIRKLAND,WA,98034
Battery Electric Vehicle (BEV),5YJ3E1EB6J,154137896,2018,TESLA,Model 3,Passenger,215,Used,Registration Renewal,October 12 2019,2019,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EB8N,194770320,2022,TESLA,Model 3,Passenger,0,Used,Registration Renewal,February 22 2024,2024,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),7SAYGDEE3N,187302349,2022,TESLA,Model Y,Passenger,0,New,Original Registration,February 10 2022,2022,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJ3E1EBXK,475620652,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,August 02 2022,2022,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),KMHC85LJ3M,218232437,2021,HYUNDAI,Ioniq,Passenger,0,Used,Original Registration,October 05 2022,2022,Thurston,OLYMPIA,WA,98501
Battery Electric Vehicle (BEV),5YJYGDEEXL,109669262,2020,TESLA,Model Y,Passenger,291,Used,Registration Renewal,June 09 2023,2023,King,BELLEVUE,WA,98008
Battery Electric Vehicle (BEV),WVWKR7AU7K,194741592,2019,VOLKSWAGEN,e-Golf,Passenger,125,Used,Registration Renewal,April 04 2024,2024,Cowlitz,LONGVIEW,WA,98632
Plug-in Hybrid Electric Vehicle (PHEV),5UXTS1C06L,120402992,2020,BMW,X3,Passenger,17,Used,Registration Renewal,July 20 2021,2021,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),1N4AZ0CP0F,152086819,2015,NISSAN,Leaf,Passenger,84,New,Original Registration,November 03 2015,2015,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),3C3CFFGE4F,232778010,2015,FIAT,500,Passenger,87,Used,Registration at time of Transfer,March 10 2017,2017,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJRE1A32A,154326007,2010,TESLA,Roadster,Passenger,245,Used,Original Registration,November 19 2013,2013,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJSA1DN1C,279701390,2012,TESLA,Model S,Passenger,265,Used,Registration at time of Transfer,September 09 2019,2019,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJRE11B58,300306583,2008,TESLA,Roadster,Passenger,220,Used,Original Title,April 26 2019,2019,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),1N4AZ1CP6J,207755775,2018,NISSAN,Leaf,Passenger,151,Used,Registration Renewal,July 19 2019,2019,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),7SAYGDEE5P,240208076,2023,TESLA,Model Y,Passenger,0,New,Original Registration,May 30 2023,2023,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJSA1E55N,192470379,2022,TESLA,Model S,Passenger,0,New,Original Registration,March 02 2022,2022,King,MEDINA,WA,98039
Battery Electric Vehicle (BEV),5YJ3E1EA1L,102377789,2020,TESLA,Model 3,Passenger,266,New,Original Registration,March 12 2020,2020,King,SEATTLE,WA,98115
Battery Electric Vehicle (BEV),5YJ3E1EA0M,138695644,2021,TESLA,Model 3,Passenger,0,New,Original Registration,January 28 2021,2021,King,SEATTLE,WA,98115
Battery Electric Vehicle (BEV),1FT6W1EV7P,230684212,2023,FORD,F-150,Commercial,0,Used,Registration Renewal,February 14 2024,2024,Clark,WASHOUGAL,WA,98671
Battery Electric Vehicle (BEV),1G1FX6S07P,255247555,2023,CHEVROLET,Bolt EV,Passenger,0,New,Original Registration,September 08 2023,2023,King,SEATTLE,WA,98133
Battery Electric Vehicle (BEV),5YJYGDEE6M,220243488,2021,TESLA,Model Y,Passenger,0,Used,Registration Renewal,September 11 2023,2023,Thurston,OLYMPIA,WA,98501
Battery Electric Vehicle (BEV),5YJSA1E50P,233738144,2023,TESLA,Model S,Passenger,0,Used,Registration Renewal,March 02 2024,2024,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),7SAYGDEE0P,249688890,2023,TESLA,Model Y,Passenger,0,New,Original Title,August 08 2023,2023,Thurston,OLYMPIA,WA,98501
Plug-in Hybrid Electric Vehicle (PHEV),1G1RD6E4XC,176433561,2012,CHEVROLET,Volt,Passenger,35,Used,Registration Renewal,September 22 2021,2021,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJ3E1EA5L,124398963,2020,TESLA,Model 3,Passenger,266,Used,Registration Renewal,September 02 2022,2022,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),1N4AZ1CP5K,202117618,2019,NISSAN,Leaf,Passenger,150,Used,Registration at time of Transfer,September 16 2021,2021,King,SEATTLE,WA,98178
Battery Electric Vehicle (BEV),5YJYGDEF3M,161507426,2021,TESLA,Model Y,Passenger,0,Used,Registration Renewal,May 30 2024,2024,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJ3E1EB1M,177549802,2021,TESLA,Model 3,Passenger,0,Used,Registration Renewal,August 19 2022,2022,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJSA1H2XF,170273267,2015,TESLA,Model S,Passenger,208,Used,Registration Renewal,May 27 2020,2020,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),JTDKARFP3J,106370435,2018,TOYOTA,Prius Prime,Passenger,25,New,Original Registration,October 05 2018,2018,King,SAMMAMISH,WA,98075
Battery Electric Vehicle (BEV),5YJYGDEF1L,113236637,2020,TESLA,Model Y,Passenger,291,Used,Registration Renewal,October 02 2023,2023,King,SAMMAMISH,WA,98075
Battery Electric Vehicle (BEV),1N4AZ0CPXF,138488024,2015,NISSAN,Leaf,Passenger,84,New,Original Registration,April 28 2015,2015,King,SAMMAMISH,WA,98075
Plug-in Hybrid Electric Vehicle (PHEV),1G1RD6E46B,198971783,2011,CHEVROLET,Volt,Passenger,35,Used,Original Registration,October 08 2012,2012,King,SAMMAMISH,WA,98075
Plug-in Hybrid Electric Vehicle (PHEV),JTDKARFP9L,187477377,2020,TOYOTA,Prius Prime,Passenger,25,Used,Original Registration,January 12 2022,2022,King,SEATTLE,WA,98109
Battery Electric Vehicle (BEV),1V2GNPE86P,229513560,2023,VOLKSWAGEN,ID.4,Passenger,0,Used,Registration Renewal,January 22 2024,2024,King,SEATTLE,WA,98109
Battery Electric Vehicle (BEV),5YJ3E1EB5N,213489776,2022,TESLA,Model 3,Passenger,0,New,Original Title,September 07 2022,2022,King,ISSAQUAH,WA,98027
Battery Electric Vehicle (BEV),KL8CL6S01F,192070560,2015,CHEVROLET,Spark,Passenger,82,Used,Registration Renewal,November 16 2020,2020,Thurston,OLYMPIA,WA,98506
Battery Electric Vehicle (BEV),KMUKCDTC1P,264827307,2023,GENESIS,GV60,Passenger,0,Used,Original Title,March 21 2024,2024,Thurston,OLYMPIA,WA,98506
Battery Electric Vehicle (BEV),JN1AZ0CP5B,251844001,2011,NISSAN,Leaf,Passenger,73,Used,Original Registration,July 21 2023,2023,Clark,BATTLE GROUND,WA,98604
Plug-in Hybrid Electric Vehicle (PHEV),1G1RA6S59J,340383473,2018,CHEVROLET,Volt,Passenger,53,Used,Registration Renewal,April 22 2019,2019,King,FEDERAL WAY,WA,98003
Plug-in Hybrid Electric Vehicle (PHEV),JTDKN3DPXE,190466244,2014,TOYOTA,Prius Plug-in,Passenger,6,Used,Registration Renewal,February 28 2022,2022,King,FEDERAL WAY,WA,98003
Plug-in Hybrid Electric Vehicle (PHEV),1G1RD6S55H,254862506,2017,CHEVROLET,Volt,Passenger,53,Used,Original Registration,November 06 2023,2023,King,FEDERAL WAY,WA,98003
Battery Electric Vehicle (BEV),1G1FZ6S00P,233568842,2023,CHEVROLET,Bolt EUV,Passenger,0,New,Original Title,March 22 2023,2023,Kitsap,PORT ORCHARD,WA,98367
Battery Electric Vehicle (BEV),5YJYGDEE4M,161826360,2021,TESLA,Model Y,Passenger,0,New,Original Registration,July 08 2021,2021,King,SEATTLE,WA,98106
Battery Electric Vehicle (BEV),1N4AZ0CP0D,215957731,2013,NISSAN,Leaf,Passenger,75,Used,Registration Renewal,June 24 2014,2014,Jefferson,PORT TOWNSEND,WA,98368
Battery Electric Vehicle (BEV),5YJ3E1EA9J,119830021,2018,TESLA,Model 3,Passenger,215,Used,Registration at time of Transfer,November 02 2021,2021,Thurston,OLYMPIA,WA,98506
Plug-in Hybrid Electric Vehicle (PHEV),JTDKARFP9H,258436139,2017,TOYOTA,Prius Prime,Passenger,25,Used,Registration Renewal,December 02 2021,2021,Thurston,OLYMPIA,WA,98506
Battery Electric Vehicle (BEV),5YJSA1E17H,205678847,2017,TESLA,Model S,Passenger,210,Used,Original Title,June 16 2022,2022,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),1FADP5CU0F,199431557,2015,FORD,C-Max,Passenger,19,Used,Registration at time of Transfer,August 15 2018,2018,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),WBY1Z4C51G,138600178,2016,BMW,i3,Passenger,72,Used,Transfer Title,May 03 2019,2019,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),5YJ3E1EA8P,260980009,2023,TESLA,Model 3,Passenger,0,New,Original Title,February 09 2024,2024,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),5YJ3E1EB8L,6263603,2020,TESLA,Model 3,Passenger,322,Used,Registration Renewal,January 03 2023,2023,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),WBY1Z2C54F,2263033,2015,BMW,i3,Passenger,81,New,Original Title,January 13 2016,2016,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),7SAYGAEE7P,257048053,2023,TESLA,Model Y,Passenger,0,New,Original Registration,November 07 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJ3E1EB8K,196673494,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,May 04 2020,2020,King,KENT,WA,98030
Battery Electric Vehicle (BEV),WVGTMPE23N,228788507,2022,VOLKSWAGEN,ID.4,Passenger,0,New,Original Title,January 27 2023,2023,King,KENT,WA,98030
Plug-in Hybrid Electric Vehicle (PHEV),LYVBR0DM3K,122947086,2019,VOLVO,XC60,Passenger,17,Used,Transfer Title,April 05 2024,2024,King,SEATTLE,WA,98178
Battery Electric Vehicle (BEV),KNDCE3LGXK,335780308,2019,KIA,Niro,Passenger,239,Used,Registration Renewal,October 18 2022,2022,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),3FMTK3SU5P,260384008,2023,FORD,Mustang Mach-E,Passenger,0,New,Original Registration,January 16 2024,2024,King,SEATTLE,WA,98177
Plug-in Hybrid Electric Vehicle (PHEV),WA1F2AFY5L,104306660,2020,AUDI,Q5 e,Passenger,20,New,Original Registration,March 19 2020,2020,King,SEATTLE,WA,98177
Battery Electric Vehicle (BEV),5YJYGDEE8M,225831427,2021,TESLA,Model Y,Passenger,0,Used,Registration Renewal,September 25 2023,2023,Thurston,YELM,WA,98597
Battery Electric Vehicle (BEV),KM8KNDAF4P,245652291,2023,HYUNDAI,Ioniq 5,Passenger,0,New,Original Title,July 24 2023,2023,Kitsap,BAINBRIDGE ISLAND,WA,98110
Plug-in Hybrid Electric Vehicle (PHEV),WBAJB1C56J,234778288,2018,BMW,530e,Passenger,14,Used,Registration Renewal,January 07 2021,2021,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJXCAE43G,119336136,2016,TESLA,Model X,Passenger,200,Used,Registration Renewal,February 13 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),1G1FW6S00P,252340889,2023,CHEVROLET,Bolt EV,Passenger,0,New,Original Registration,September 21 2023,2023,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),7SAYGDEE5N,192470470,2022,TESLA,Model Y,Passenger,0,Used,Registration Renewal,December 31 2022,2022,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),WP1AE2AY1K,2675417,2019,PORSCHE,Cayenne,Passenger,13,New,Original Registration,December 16 2019,2019,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),7SAYGDEE2N,220688121,2022,TESLA,Model Y,Passenger,0,New,Original Registration,November 15 2022,2022,King,KIRKLAND,WA,98034
Battery Electric Vehicle (BEV),W1N9M0KB3P,256097572,2023,MERCEDES-BENZ,EQB-Class,Passenger,0,New,Original Title,October 09 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),4JGGM1CBXP,258186617,2023,MERCEDES-BENZ,EQE-Class SUV,Passenger,0,New,Original Registration,November 27 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),KNDC4DLC4P,238761106,2023,KIA,EV6,Passenger,0,New,Original Registration,May 24 2023,2023,King,KENT,WA,98031
Battery Electric Vehicle (BEV),5YJ3E1EA6L,4943858,2020,TESLA,Model 3,Passenger,266,Used,Registration Renewal,December 22 2023,2023,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),7SAYGAEE8P,252614022,2023,TESLA,Model Y,Passenger,0,New,Original Title,August 26 2023,2023,King,KIRKLAND,WA,98034
Battery Electric Vehicle (BEV),7PDSGBBA5R,261910603,2024,RIVIAN,R1S,Passenger,0,New,Original Registration,March 23 2024,2024,King,BOTHELL,WA,98011
Battery Electric Vehicle (BEV),7SAYGDEE2P,224632481,2023,TESLA,Model Y,Passenger,0,New,Original Title,January 11 2023,2023,King,KENT,WA,98031
Battery Electric Vehicle (BEV),1N4BZ0CP5H,325665931,2017,NISSAN,Leaf,Passenger,107,Used,Registration Renewal,March 07 2018,2018,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),7SAYGDEE9N,213557746,2022,TESLA,Model Y,Passenger,0,New,Original Registration,October 04 2022,2022,King,REDMOND,WA,98052
Plug-in Hybrid Electric Vehicle (PHEV),KNDCD3LD7L,166789304,2020,KIA,Niro,Passenger,26,Used,Transfer Title,May 22 2024,2024,Thurston,OLYMPIA,WA,98512
Plug-in Hybrid Electric Vehicle (PHEV),WAUTPBFF5G,180606415,2016,AUDI,A3,Passenger,16,Used,Original Registration,October 23 2021,2021,King,SEATTLE,WA,98177
Battery Electric Vehicle (BEV),7SAYGDEE3P,259672381,2023,TESLA,Model Y,Passenger,0,New,Original Title,January 10 2024,2024,King,BOTHELL,WA,98011
Battery Electric Vehicle (BEV),WA1VAAGE4K,280087587,2019,AUDI,e-tron,Passenger,204,New,Original Registration,October 08 2019,2019,King,BELLEVUE,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),LREKK5RX7J,476538870,2018,CADILLAC,CT6,Passenger,31,Used,Transfer Title,September 09 2020,2020,King,KENT,WA,98030
Plug-in Hybrid Electric Vehicle (PHEV),2C4RC1N78L,101037373,2020,CHRYSLER,Pacifica,Passenger,32,New,Original Registration,February 27 2020,2020,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),KNDJX3AE7G,321541790,2016,KIA,Soul,Passenger,93,Used,Registration Renewal,March 13 2019,2019,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),WA1AAAGE7M,148546016,2021,AUDI,e-tron,Passenger,222,Used,Registration at time of Transfer,October 02 2023,2023,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),5YJ3E1EB3R,265716251,2024,TESLA,Model 3,Passenger,0,New,Original Title,May 22 2024,2024,King,SEATTLE,WA,98146
Battery Electric Vehicle (BEV),WVWPP7AUXG,339698565,2016,VOLKSWAGEN,e-Golf,Passenger,83,Used,Original Registration,August 16 2019,2019,King,SEATTLE,WA,98178
Plug-in Hybrid Electric Vehicle (PHEV),WBAJB1C54K,478079332,2019,BMW,530e,Passenger,15,Used,Transfer Title,September 29 2022,2022,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),WA1VABGEXM,144906702,2021,AUDI,e-tron,Passenger,222,Used,Registration at time of Transfer,July 25 2023,2023,King,BOTHELL,WA,98011
Battery Electric Vehicle (BEV),5YJ3E1EB9P,244951605,2023,TESLA,Model 3,Passenger,0,New,Original Title,August 04 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),7SAYGDEE1P,230047289,2023,TESLA,Model Y,Passenger,0,New,Original Title,March 09 2023,2023,King,KENT,WA,98031
Plug-in Hybrid Electric Vehicle (PHEV),5UXTA6C06N,260713701,2022,BMW,X5,Passenger,30,Used,Original Registration,January 31 2024,2024,King,BEAUX ARTS,WA,98004
Battery Electric Vehicle (BEV),5YJ3E1EB4K,477801649,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,November 12 2022,2022,King,KIRKLAND,WA,98033
Plug-in Hybrid Electric Vehicle (PHEV),YV4H600L8N,203388517,2022,VOLVO,XC90,Passenger,35,New,Original Registration,June 16 2022,2022,King,SEATTLE,WA,98177
Plug-in Hybrid Electric Vehicle (PHEV),WBY1Z8C54H,348511173,2017,BMW,i3,Passenger,97,Used,Registration Renewal,July 28 2020,2020,King,KIRKLAND,WA,98033
Battery Electric Vehicle (BEV),1N4AZ0CP8F,174685990,2015,NISSAN,Leaf,Passenger,84,Used,Registration Renewal,June 07 2024,2024,King,SEATTLE,WA,98177
Battery Electric Vehicle (BEV),KM8KNDAFXP,225769407,2023,HYUNDAI,Ioniq 5,Passenger,0,New,Original Title,December 15 2022,2022,King,SEATTLE,WA,98177
Battery Electric Vehicle (BEV),7SAYGDEF2P,260754574,2023,TESLA,Model Y,Passenger,0,New,Original Registration,December 19 2023,2023,King,BOTHELL,WA,98011
Battery Electric Vehicle (BEV),5YJ3E1EB0M,148962033,2021,TESLA,Model 3,Passenger,0,New,Original Registration,April 07 2021,2021,King,BOTHELL,WA,98011
Plug-in Hybrid Electric Vehicle (PHEV),1G1RB6S53H,195316348,2017,CHEVROLET,Volt,Passenger,53,Used,Registration Renewal,January 25 2021,2021,King,RENTON,WA,98055
Plug-in Hybrid Electric Vehicle (PHEV),YV4H60CL3N,209120537,2022,VOLVO,XC90,Passenger,35,New,Original Title,July 28 2022,2022,King,SEATTLE,WA,98177
Battery Electric Vehicle (BEV),KM8KNDAF1P,255987140,2023,HYUNDAI,Ioniq 5,Passenger,0,New,Original Registration,October 05 2023,2023,Kitsap,BAINBRIDGE ISLAND,WA,98110
Battery Electric Vehicle (BEV),5YJSA1H1XE,155190052,2014,TESLA,Model S,Passenger,208,Used,Registration Renewal,April 19 2017,2017,Kitsap,BAINBRIDGE ISLAND,WA,98110
Plug-in Hybrid Electric Vehicle (PHEV),WBY1Z4C58E,195466813,2014,BMW,i3,Passenger,72,Used,Transfer Title,January 26 2023,2023,Kitsap,PORT ORCHARD,WA,98367
Battery Electric Vehicle (BEV),5YJ3E1EA0N,269700609,2022,TESLA,Model 3,Passenger,0,Used,Original Title,June 05 2024,2024,King,SEATTLE,WA,98115
Battery Electric Vehicle (BEV),5YJXCDE2XJ,162078675,2018,TESLA,Model X,Passenger,238,Used,Registration Renewal,January 22 2019,2019,King,ISSAQUAH,WA,98029
Battery Electric Vehicle (BEV),5YJ3E1EA5J,271903194,2018,TESLA,Model 3,Passenger,215,Used,Registration Renewal,March 19 2021,2021,King,ISSAQUAH,WA,98029
Battery Electric Vehicle (BEV),5YJXCAE47L,112022900,2020,TESLA,Model X,Passenger,289,Used,Registration Renewal,June 17 2022,2022,King,ISSAQUAH,WA,98029
Battery Electric Vehicle (BEV),5YJ3E1EA9P,228860327,2023,TESLA,Model 3,Passenger,0,Used,Registration Renewal,January 11 2024,2024,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),1N4CZ1CV4P,220840889,2023,NISSAN,Leaf,Passenger,0,New,Original Title,November 02 2022,2022,Kitsap,BAINBRIDGE ISLAND,WA,98110
Battery Electric Vehicle (BEV),7SAYGDEE0R,267583039,2024,TESLA,Model Y,Passenger,0,New,Original Title,June 21 2024,2024,Kitsap,BREMERTON,WA,98312
Battery Electric Vehicle (BEV),1G1FZ6S0XP,257016693,2023,CHEVROLET,Bolt EUV,Passenger,0,New,Original Title,October 05 2023,2023,Kitsap,SILVERDALE,WA,98383
Battery Electric Vehicle (BEV),5YJYGDEE7M,265853143,2021,TESLA,Model Y,Passenger,0,Used,Original Registration,April 30 2024,2024,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJ3E1EB5M,187465246,2021,TESLA,Model 3,Passenger,0,Used,Registration Renewal,November 15 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJ3E1EA1N,229468676,2022,TESLA,Model 3,Passenger,0,Used,Registration Renewal,December 19 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),7SAYGDED6R,266913699,2024,TESLA,Model Y,Passenger,0,New,Original Registration,April 10 2024,2024,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJSA1E25L,125986143,2020,TESLA,Model S,Passenger,330,New,Original Registration,November 02 2020,2020,King,BELLEVUE,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),1G1RB6E41D,2057373,2013,CHEVROLET,Volt,Passenger,38,Used,Registration Renewal,June 06 2017,2017,Kitsap,KINGSTON,WA,98346
Battery Electric Vehicle (BEV),7SAYGAEE3P,225995822,2023,TESLA,Model Y,Passenger,0,New,Original Registration,December 13 2022,2022,Kitsap,BAINBRIDGE ISLAND,WA,98110
Plug-in Hybrid Electric Vehicle (PHEV),WAUUPBFF5H,194690968,2017,AUDI,A3,Passenger,16,Used,Original Registration,March 28 2022,2022,King,BELLEVUE,WA,98005
Battery Electric Vehicle (BEV),1N4AZ0CP1D,238673585,2013,NISSAN,Leaf,Passenger,75,Used,Registration Renewal,September 28 2020,2020,King,BELLEVUE,WA,98005
Battery Electric Vehicle (BEV),5YJ3E1EA8L,127134339,2020,TESLA,Model 3,Passenger,266,New,Original Title,November 02 2020,2020,King,BELLEVUE,WA,98008
Battery Electric Vehicle (BEV),1N4BZ0CP6H,477533073,2017,NISSAN,Leaf,Passenger,107,Used,Registration Renewal,June 10 2024,2024,Snohomish,BOTHELL,WA,98012
Battery Electric Vehicle (BEV),JN1AZ0CP5C,137984815,2012,NISSAN,Leaf,Passenger,73,Used,Transfer Title,June 22 2021,2021,King,SAMMAMISH,WA,98074
Plug-in Hybrid Electric Vehicle (PHEV),2C4RC1S7XM,176545155,2021,CHRYSLER,Pacifica,Passenger,32,Used,Registration Renewal,August 08 2022,2022,King,SEATTLE,WA,98122
Battery Electric Vehicle (BEV),5YJ3E1EA4P,260217352,2023,TESLA,Model 3,Passenger,0,New,Original Title,February 01 2024,2024,King,SAMMAMISH,WA,98074
Plug-in Hybrid Electric Vehicle (PHEV),WP1AE2A21G,136339017,2016,PORSCHE,Cayenne,Passenger,14,New,Original Title,July 14 2016,2016,King,SEATTLE,WA,98144
Battery Electric Vehicle (BEV),5YJ3E1EA0L,1956790,2020,TESLA,Model 3,Passenger,266,Used,Registration Renewal,December 23 2021,2021,King,SEATTLE,WA,98144
Battery Electric Vehicle (BEV),WVWKP7AU5G,254820408,2016,VOLKSWAGEN,e-Golf,Passenger,83,Used,Original Registration,October 03 2023,2023,King,ALGONA,WA,98001
Battery Electric Vehicle (BEV),1N4AZ1CP4J,305251026,2018,NISSAN,Leaf,Passenger,151,New,Original Title,March 23 2018,2018,King,SEATTLE,WA,98144
Battery Electric Vehicle (BEV),5YJYGDEEXM,151027880,2021,TESLA,Model Y,Passenger,0,New,Original Title,April 09 2021,2021,King,SEATTLE,WA,98144
Plug-in Hybrid Electric Vehicle (PHEV),1G1RC6S51J,232795657,2018,CHEVROLET,Volt,Passenger,53,Used,Original Title,February 18 2023,2023,Thurston,RAINIER,WA,98576
Battery Electric Vehicle (BEV),5YJ3E1EA5N,192451878,2022,TESLA,Model 3,Passenger,0,Used,Registration Renewal,January 03 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJSA1H21F,143772541,2015,TESLA,Model S,Passenger,208,Used,Registration Renewal,October 15 2021,2021,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJXCBE25G,153236597,2016,TESLA,Model X,Passenger,200,Used,Registration Renewal,June 28 2017,2017,Clark,LA CENTER,WA,98629
Battery Electric Vehicle (BEV),5YJSA4H23F,140552856,2015,TESLA,Model S,Passenger,208,New,Original Registration,May 21 2015,2015,Clark,LA CENTER,WA,98629
Battery Electric Vehicle (BEV),1FTVW1EL1N,208097172,2022,FORD,F-150,Truck,0,New,Original Title,June 27 2022,2022,Yakima,SELAH,WA,98942
Battery Electric Vehicle (BEV),KMUKCDTC2P,236500743,2023,GENESIS,GV60,Passenger,0,Used,Registration Renewal,April 16 2024,2024,King,BELLEVUE,WA,98005
Battery Electric Vehicle (BEV),5YJ3E1EA0P,262090699,2023,TESLA,Model 3,Passenger,0,New,Original Title,January 10 2024,2024,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJYGDEE3M,148812065,2021,TESLA,Model Y,Passenger,0,Used,Registration Renewal,February 22 2022,2022,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),JN1AZ0CP4B,139375617,2011,NISSAN,Leaf,Passenger,73,Used,Registration Renewal,June 20 2017,2017,Snohomish,LAKE STEVENS,WA,98258
Plug-in Hybrid Electric Vehicle (PHEV),1G1RA6E41D,260129453,2013,CHEVROLET,Volt,Passenger,38,Used,Transfer Title,June 13 2014,2014,Jefferson,PORT LUDLOW,WA,98365
Battery Electric Vehicle (BEV),1N4AZ0CP5G,157116578,2016,NISSAN,Leaf,Passenger,84,Used,Registration Renewal,April 17 2017,2017,Clark,VANCOUVER,WA,98663
Battery Electric Vehicle (BEV),7SAYGDEE8N,195349927,2022,TESLA,Model Y,Passenger,0,Used,Registration Renewal,June 09 2023,2023,Cowlitz,KELSO,WA,98626
Battery Electric Vehicle (BEV),5YJSA1H12E,161139807,2014,TESLA,Model S,Passenger,208,New,Original Registration,November 18 2014,2014,King,RENTON,WA,98057
